,state_id,Title,Total,Partial vaccinated,Fully Vaccinated,Date
261,3,Arunachal Pradesh,51377,38084,13293,2021-03-15 18:00:55
262,4,Assam,517735,429304,88431,2021-03-15 18:00:55
263,5,Bihar,1234562,924776,309786,2021-03-15 18:00:55
264,6,Chandigarh,43207,36835,6372,2021-03-15 18:00:55
265,7,Chhattisgarh,831027,623226,207801,2021-03-15 18:00:55
266,8,Dadra and Nagar Haveli,9299,6954,2345,2021-03-15 18:00:55
267,9,Delhi,585649,453532,132117,2021-03-15 18:00:55
268,10,Goa,64629,52380,12249,2021-03-15 18:00:55
269,11,Gujarat,2220349,1681129,539220,2021-03-15 18:00:55
270,12,Haryana,486747,374842,111905,2021-03-15 18:00:55
271,13,Himachal Pradesh,194262,128028,66234,2021-03-15 18:00:55
272,14,Jammu and Kashmir,414348,346144,68204,2021-03-15 18:00:55
273,15,Jharkhand,563156,404892,158264,2021-03-15 18:00:55
274,16,Karnataka,1229513,889932,339581,2021-03-15 18:00:55
275,17,Kerala,1209759,913278,296481,2021-03-15 18:00:55
276,18,Ladakh,33327,30423,2904,2021-03-15 18:00:55
277,19,Lakshadweep,2717,1727,990,2021-03-15 18:00:55
278,20,Madhya Pradesh,1300173,926343,373830,2021-03-15 18:00:55
279,21,Maharashtra,2333006,1889438,443568,2021-03-15 18:00:55
280,22,Manipur,77264,65326,11938,2021-03-15 18:00:55
281,23,Meghalaya,64380,52194,12186,2021-03-15 18:00:55
282,24,Mizoram,47444,36933,10511,2021-03-15 18:00:55
283,25,Nagaland,44454,33851,10603,2021-03-15 18:00:55
284,26,Odisha,968576,682170,286406,2021-03-15 18:00:55
285,27,Puducherry,26694,22703,3991,2021-03-15 18:00:55
286,28,Punjab,334507,265778,68729,2021-03-15 18:00:55
287,29,Rajasthan,2620263,2162427,457836,2021-03-15 18:00:55
288,30,Sikkim,43571,35709,7862,2021-03-15 18:00:55
289,31,Tamil Nadu,1203072,1073648,129424,2021-03-15 18:00:55
290,32,Telangana,527695,315493,212202,2021-03-15 18:00:55
291,33,Tripura,157519,104232,53287,2021-03-15 18:00:55
292,34,Uttar Pradesh,2379960,1715158,664802,2021-03-15 18:00:55
293,35,Uttarakhand,310735,218339,92396,2021-03-15 18:00:55
294,36,West Bengal,2314641,1920977,393664,2021-03-15 18:00:55
295,37,Daman and Diu,7249,6058,1191,2021-03-15 18:00:55
296,1,Andaman and Nicobar Islands,12374,9497,2877,2021-03-16 18:00:46
297,2,Andhra Pradesh,1023938,766142,257796,2021-03-16 18:00:46
298,3,Arunachal Pradesh,53255,39505,13750,2021-03-16 18:00:46
299,4,Assam,536333,444319,92014,2021-03-16 18:00:46
300,5,Bihar,1310157,986340,323817,2021-03-16 18:00:46
301,6,Chandigarh,45287,38340,6947,2021-03-16 18:00:46
302,7,Chhattisgarh,901214,680006,221208,2021-03-16 18:00:46
303,8,Dadra and Nagar Haveli,9575,7158,2417,2021-03-16 18:00:46
304,9,Delhi,610943,467441,143502,2021-03-16 18:00:46
305,10,Goa,70030,57391,12639,2021-03-16 18:00:46
306,11,Gujarat,2366359,1803506,562853,2021-03-16 18:00:46
307,12,Haryana,588119,470419,117700,2021-03-16 18:00:46
308,13,Himachal Pradesh,219841,149612,70229,2021-03-16 18:00:46
309,14,Jammu and Kashmir,450517,369385,81132,2021-03-16 18:00:46
310,15,Jharkhand,601972,431847,170125,2021-03-16 18:00:46
311,16,Karnataka,1341902,991410,350492,2021-03-16 18:00:46
312,17,Kerala,1294853,982902,311951,2021-03-16 18:00:46
313,18,Ladakh,35797,32446,3351,2021-03-16 18:00:46
314,19,Lakshadweep,2911,1803,1108,2021-03-16 18:00:46
315,20,Madhya Pradesh,1324453,947052,377401,2021-03-16 18:00:46
316,21,Maharashtra,2475988,2007670,468318,2021-03-16 18:00:46
317,22,Manipur,79103,65946,13157,2021-03-16 18:00:46
318,23,Meghalaya,68323,54180,14143,2021-03-16 18:00:46
319,24,Mizoram,50041,39413,10628,2021-03-16 18:00:46
320,25,Nagaland,47216,35254,11962,2021-03-16 18:00:46
321,26,Odisha,1076245,779021,297224,2021-03-16 18:00:46
322,27,Puducherry,28665,24439,4226,2021-03-16 18:00:46
323,28,Punjab,360276,287786,72490,2021-03-16 18:00:46
324,29,Rajasthan,2833229,2362643,470586,2021-03-16 18:00:46
325,30,Sikkim,46156,38019,8137,2021-03-16 18:00:46
326,31,Tamil Nadu,1308601,1168041,140560,2021-03-16 18:00:46
327,32,Telangana,549049,334375,214674,2021-03-16 18:00:46
328,33,Tripura,176658,119449,57209,2021-03-16 18:00:46
329,34,Uttar Pradesh,2577411,1852265,725146,2021-03-16 18:00:46
330,35,Uttarakhand,336779,238560,98219,2021-03-16 18:00:46
331,36,West Bengal,2539532,2121890,417642,2021-03-16 18:00:46
332,37,Daman and Diu,7789,6537,1252,2021-03-16 18:00:46
333,1,Andaman and Nicobar Islands,12570,9590,2980,2021-03-17 18:01:03
334,2,Andhra Pradesh,1117925,849594,268331,2021-03-17 18:01:03
335,3,Arunachal Pradesh,50118,36326,13792,2021-03-17 18:01:03
336,4,Assam,521999,427974,94025,2021-03-17 18:01:03
337,5,Bihar,1305893,972143,333750,2021-03-17 18:01:03
338,6,Chandigarh,50173,42764,7409,2021-03-17 18:01:03
339,7,Chhattisgarh,921635,687435,234200,2021-03-17 18:01:03
340,8,Dadra and Nagar Haveli,8830,6327,2503,2021-03-17 18:01:03
341,9,Delhi,737305,584370,152935,2021-03-17 18:01:03
342,10,Goa,72593,59519,13074,2021-03-17 18:01:03
343,11,Gujarat,2353930,1780056,573874,2021-03-17 18:01:03
344,12,Haryana,628429,508020,120409,2021-03-17 18:01:03
345,13,Himachal Pradesh,236637,164397,72240,2021-03-17 18:01:03
346,14,Jammu and Kashmir,424963,343444,81519,2021-03-17 18:01:03
347,15,Jharkhand,571951,391049,180902,2021-03-17 18:01:03
348,16,Karnataka,1654224,1290218,364006,2021-03-17 18:01:03
349,17,Kerala,1696771,1377915,318856,2021-03-17 18:01:03
350,18,Ladakh,36468,32797,3671,2021-03-17 18:01:03
351,19,Lakshadweep,3424,2289,1135,2021-03-17 18:01:03
352,20,Madhya Pradesh,1499886,1088366,411520,2021-03-17 18:01:03
353,21,Maharashtra,3236294,2736844,499450,2021-03-17 18:01:03
354,22,Manipur,73462,58713,14749,2021-03-17 18:01:03
355,23,Meghalaya,64495,48584,15911,2021-03-17 18:01:03
356,24,Mizoram,50789,39977,10812,2021-03-17 18:01:03
357,25,Nagaland,43689,30908,12781,2021-03-17 18:01:03
358,26,Odisha,1076385,772365,304020,2021-03-17 18:01:03
359,27,Puducherry,32265,27790,4475,2021-03-17 18:01:03
360,28,Punjab,391583,316328,75255,2021-03-17 18:01:03
361,29,Rajasthan,3064353,2489908,574445,2021-03-17 18:01:03
362,30,Sikkim,45807,37300,8507,2021-03-17 18:01:03
363,31,Tamil Nadu,1427530,1275868,151662,2021-03-17 18:01:03
364,32,Telangana,630339,414567,215772,2021-03-17 18:01:03
365,33,Tripura,170598,112464,58134,2021-03-17 18:01:03
366,34,Uttar Pradesh,2725075,1984162,740913,2021-03-17 18:01:03
367,35,Uttarakhand,358484,256613,101871,2021-03-17 18:01:03
368,36,West Bengal,2694755,2261131,433624,2021-03-17 18:01:03
369,37,Daman and Diu,8435,7046,1389,2021-03-17 18:01:03
370,1,Andaman and Nicobar Islands,13189,10007,3182,2021-03-18 18:00:06
371,2,Andhra Pradesh,1205961,928351,277610,2021-03-18 18:00:06
372,3,Arunachal Pradesh,53355,38624,14731,2021-03-18 18:00:06
373,4,Assam,541484,443358,98126,2021-03-18 18:00:06
374,5,Bihar,1378580,1033329,345251,2021-03-18 18:00:06
375,6,Chandigarh,52173,44311,7862,2021-03-18 18:00:06
376,7,Chhattisgarh,1003806,757694,246112,2021-03-18 18:00:06
377,8,Dadra and Nagar Haveli,9204,6576,2628,2021-03-18 18:00:06
378,9,Delhi,777230,610611,166619,2021-03-18 18:00:06
379,10,Goa,75176,61906,13270,2021-03-18 18:00:06
380,11,Gujarat,2493705,1904676,589029,2021-03-18 18:00:06
381,12,Haryana,685703,561730,123973,2021-03-18 18:00:06
382,13,Himachal Pradesh,250094,175686,74408,2021-03-18 18:00:06
383,14,Jammu and Kashmir,460588,367225,93363,2021-03-18 18:00:06
384,15,Jharkhand,602323,412463,189860,2021-03-18 18:00:06
385,16,Karnataka,1763431,1391043,372388,2021-03-18 18:00:06
386,17,Kerala,1845882,1512684,333198,2021-03-18 18:00:06
387,18,Ladakh,38105,33885,4220,2021-03-18 18:00:06
388,19,Lakshadweep,3633,2346,1287,2021-03-18 18:00:06
389,20,Madhya Pradesh,1650814,1219073,431741,2021-03-18 18:00:06
390,21,Maharashtra,3438852,2914117,524735,2021-03-18 18:00:06
391,22,Manipur,75295,59248,16047,2021-03-18 18:00:06
392,23,Meghalaya,68461,50331,18130,2021-03-18 18:00:06
393,24,Mizoram,51633,40344,11289,2021-03-18 18:00:06
394,25,Nagaland,45739,31982,13757,2021-03-18 18:00:06
395,26,Odisha,1164753,854306,310447,2021-03-18 18:00:06
396,27,Puducherry,35013,30195,4818,2021-03-18 18:00:06
397,28,Punjab,420501,342134,78367,2021-03-18 18:00:06
398,29,Rajasthan,3168302,2576239,592063,2021-03-18 18:00:06
399,30,Sikkim,48047,39029,9018,2021-03-18 18:00:06
400,31,Tamil Nadu,1535330,1373644,161686,2021-03-18 18:00:06
401,32,Telangana,662501,445397,217104,2021-03-18 18:00:06
402,33,Tripura,191196,129948,61248,2021-03-18 18:00:06
403,34,Uttar Pradesh,3101179,2257323,843856,2021-03-18 18:00:06
404,35,Uttarakhand,388781,282182,106599,2021-03-18 18:00:06
405,36,West Bengal,2831476,2380076,451400,2021-03-18 18:00:06
406,37,Daman and Diu,8722,7233,1489,2021-03-18 18:00:06
407,1,Andaman and Nicobar Islands,13678,10359,3319,2021-03-19 18:01:02
408,2,Andhra Pradesh,1299814,1011645,288169,2021-03-19 18:01:02
409,3,Arunachal Pradesh,55874,40318,15556,2021-03-19 18:01:02
410,4,Assam,561014,457424,103590,2021-03-19 18:01:02
411,5,Bihar,1449563,1094690,354873,2021-03-19 18:01:02
